NGSL Rank	Word	IPA	Conjugations	Synonyms	English	Russian
216	government	g??v?nm?nt	governments	"administration; regime; rule; direction; supervision; authority; leadership; control; command; management"	"ruling of a country or area; political control; group of people that rule a country or area; rule, authority"	правительство, правление, форма правления, управление, провинция, штат
217	word	w??d	"words; worded; wording"	"statement; declaration; utterance; remark; speech; sound; expression"	"unit of language with meaning; speech, talk; short conversation; utterance; order, command; news, notice; commitment, promise; password, watchword"	"слово; речь; разговор; размолвка, ссора; обещание; замечание; известие, сообщение; приказание; пароль; девиз, лозунг; текст"
218	issue	???u	"issues; issued; issuing"	"copy; deliver; topic; concern; edition; spring; subject; installment; flow; distribute; release; distribution; problem; emerge; matter; announce; question; number; rise; production; circulation; delivery; gush; stem; arise; emanate; make; supply; publish; release; broadcast; publication; originate"	"act of sending out, distribution; something sent out, publication, edition; subject, topic, matter under discussion; end result; children, offspring"	"издание, номер журнала; проблема, разногласие, предмет спора; эмиссия, выпуск (денег); результат, доходы, прибыли, выделение; потомок, потомство"
219	market	m??rk?t	"markets; marketed; marketing"	"souk; advertise; sell; marketplace; bazaar; promote"	"place where people gather to buy and sell; store for the sale of food; bazaar; fair; demand for goods or services (Economics); rate of purchase and sale (Economics)"	рынок, базар, сбыт, спрос, торговля, рыночные цены, специализированный продовольственный магазин
220	pay	p?e?	"pays; paid; paying"	"forfeit; compensate; fee; give; earnings; salary; disburse; wage; compensation; recompense; remuneration; reimburse; recompense; reimbursement"	"give money for goods or to cancel debts; settle, repay; be worthwhile, be profitable"	"платить, заплатить, уплачивать; возмещать; окупаться, быть выгодным, приносить доход; поплатиться, платиться; травить [мор.]; свидетельствовать; оказывать; наносить; смолить"
221	build	b??ld	"builds; built; building"	"erect; body; assemble; develop; make; form; physique; manufacture; fabricate; create; dimensions; make; shape; construct; encourage; foster; size; figure"	"construct, create; energize, increase intensity"	"строить, сооружать, соорудить, вить, создавать; основываться; полагаться"
222	hold	h?o?ld	"holds; held; holding"	"clutch; retain; storeroom; have; take; support; store; contain; maintain; view; grasp; clasp; embrace; convene; support; restrain; detain; spell; grip; have; suspend; imprison; fix; manage; stand; reckon; conduct; control; occupy; cuddle; enfold; stow; persist; run; seize; control; handhold; sway; grasp; bind; storage; sustain; secure; attach; support; believe; regard; footing; power; influence; claim; clutch; embrace; own; connect; hug; shoulder; fasten; accommodate; wear; consider; think; grip; clasp; confine; unite; keep; carry; continue; carry; stick; possess; maintain; resist; presume; keep; embrace; take; last; wait; comprise; sustain; organize; call; assemble; bear; grasp; squeeze; grasp; seat; maintain; deem; foothold; command"	"have in one's hand; include, contain; keep, save; restrain; maintain, support, believe; direct, arrange; possess"	"держать, удерживать, сдерживать, задерживать, придерживать; останавливать; продержать; владеть, иметь; оборонять [воен.]; вмещать, содержать в себе, заключать в себе; полагать, считать; держать в тюрьме; выдерживать, держаться; стоять (о погоде); иметь силу (о законе), оставаться в силе; оказывать влияние на кого-л."
223	service	s??v?s	"services; serviced; servicing"	"sacrament; advantage; check; repair; help; check; examination; ritual; rite; mass; use; ceremony; assistance; examine; benefit; tune; overhaul; overhaul"	"act of providing; act of offering; work, labor; function, role; set of dishes; religious ceremony; offer, presentation; help, aid; act of putting a ball into play (Sports); military, armed forces"	"связь, сообщение; служение; работа, служба; одолжение; срок службы; обслуживание, сервис, уход, техническое обслуживание; род войск; сфера деятельности; услуга, заслуга; подача, действие, движение; судебное извещение; клетневание; рейсы; рябина домашняя [бот.]"
224	against	?g??nst		"alongside; beside; touching; anti; versus"	"versus; opposite; leaning on"	"против; напротив; на, с, к, от, о, об, по, про, рядом, у"
225	believe	b?l?iv	"believes; believed; believing"	"trust; consider; deem; suppose; think; judge"	have faith in, think to be true	верить, веровать, доверять, думать, полагать, придавать большое значение
226	second	s??k?nd	"seconds; seconded; seconding"	"subsequent; succeeding; following; jiffy; next; trice; back; support; minute; moment; instant; flash"	"next after the first; alternate; other; additional; subordinate, having a lower rank"	"второй, вторичный; повторный, дополнительный, второстепенный; другой, еще один; уступающий по качеству, второсортный, более низкий, получивший второй приз, получивший вторую премию"
227	though	??o?		"still; while; although; nevertheless; nonetheless; however"	despite, in spite of	хотя, несмотря на, даже, если бы, однако, однако же, хотя бы, все-таки, тем не менее
228	yes	y??s	yeses	"okay; sure; agreed"	"yea, aye; indeed?, truly?"	да, в самом деле?
229	love	l??v	"loves; loved; loving"	"fondness; darling; adore; worship; fancy; dearest; honey; affection; ardor; adoration; dear; like; feeling; passion; friendship; devotion; sweetheart; tenderness"	"have great affection for; feel a passionate attraction to; be fond of; hug and kiss; have sexual intercourse with; like a great deal, be enthusiastic about"	"любить; находить удовольствие; хотеть, желать; возлюбить"
230	increase	??nkr?is	"increases; increased; increasing"	"boost; expand; multiplication; redouble; enlarge; swell; intensify; encourage; growth; amplify; strengthen; snowball; escalation; spread; raise; grow; escalate; mushroom; heighten; proliferation; soar; mount; intensification; enhance; rise; fuel; proliferate; intensify; expansion; augment; foster; upsurge; improve; spread; swell; multiply; rise; multiply"	"enlarge, add to, augment; multiply; raise, heighten, intensify"	увеличивать, усиливать, увеличиваться, расти, пополняться, надбавить
231	job	d???b	"jobs; jobbed; jobbing"	"trade; post; charge; profession; career; employment; situation; task; responsibility; vacancy; duty; appointment; activity; post; mission; chore; affair; occupation; work"	"work, employment, occupation; task; piece of work, duty, assignment; product of work done; manner in which work is done; problem, difficulty; theft, robbery, crime (Slang); task, procedure, assignment (Computers)"	"занятие, работа; труд, сдельная работа, служба; место работы, предприятие; задание, урок; деталь, изделие"
232	plan	pl??n	"plans; planned; planning"	"map; design; diagram; propose; arrangement; idea; intend; proposal; table; design; graph; preparation; sketch; prepare; strategy; mean; plot; chart; arrange"	program, scheme	чертеж, проект, схема, диаграмма, замысел, намерение, предположение, способ действий, план
233	result	r?z??lt	"results; resulted; resulting"	"answer; conclusion; effect; product; upshot; consequence; findings; consequence; outcome"	effect, outcome, consequence	результат, итог, исход, эффект, следствие, результат вычисления
234	away	?w?e?		"gone; missing; absent; left"	"in another place; far, at a great distance"	"далеко, в другом месте; отступя; в отсутствие; прочь, долой, вон"
235	example	?gz??mp?l	examples	"model; instance; illustration; paradigm; case; pattern; exemplar"	sample, model, pattern, something which serves as an illustration	образец, пример, характерный пример, экземпляр, примерное наказание, урок
236	happen	h??p?n	"happens; happened; happening"	"materialize; transpire; ensue; occur"	occur, take place	случаться, происходить, бывать, произойти, приводиться, статься, случайно оказываться, случайно найти
237	offer	??f?	"offers; offered; offering"	"submit; present; propose; bargain; suggest; proposal; recommend; bid; deal; tender; proffer; agreement; compromise; proposition; submission; suggestion; bid"	"suggest; tender, bid, propose a price; present, put forward, submit; express (goodwill, intent, etc.); present or sacrifice as an act of worship"	"предлагать; возносить; предлагать определенную цену; предлагать вниманию; приносить жертвы"
238	young	y???	"younger; youngest"	"fresh; infantile; little; children; litter; adolescent; babyish; early; babies; new; youthful; juvenile; offspring; childish; brood; immature; undeveloped"	"of childhood, of youth; at the beginning of life; fresh, novice, beginning"	молодой, юный, юношеский, новый, малолетний, недавний, неопытный, младший
239	close	kl?o?s	"closes; closed; closing; closer; closest"	"secure; local; chummy; devoted; complete; concentrated; accurate; secretive; marked; definite; ending; pronounced; minute; plug; denouement; slam; adjacent; bar; conclude; finish; careful; oppressive; heavy; sticky; finish; precise; nearby; handy; block; culminate; rigorous; similar; strict; end; dense; loving; firm; cessation; gather; fuse; exact; seal; solid; tight; meticulous; silent; quiet; muggy; lock; meet; keen; familiar; dear; obstruct; conclusion; packed; solid; taciturn; airless; intimate; strong; end; finale; compact; literal; near; discontinue; blockade; mum; uncommunicative; sultry; shut; completion; join; unite; particular; faithful"	"shut; be shut; finish, complete"	"закрывать, закрыть, закрываться; заключать, заканчиваться; договариваться; принять; подходить близко, сближаться"
240	program	pr?o?gr??m	"programs; programmed; programming"	"plan; encode; code; agenda; instruct; course; series; curriculum; syllabus; list; train; predetermine"	"plan, project,schedule, agenda, written order of events; public presentation; show that is broadcast on television or radio; planned group of activities; prospectus, syllabus; computer program (also programme)"	программа, представление, спектакль, план
241	lead	l??d	"leads; led; leading; leaded"	"hint; control; run; start; central; prime; pilot; vanguard; clue; direct; indication; guide; information; front; leadership; escort; advantage; chief; direct; pointer; command; manage; head; conduct; head; principal; advance; main"	"conduct, escort; drive; guide; direct; take, bring; influence, cause; be in first place; live in a certain way, follow a certain lifestyle;coat with lead; fix in place using lead"	"свинцевать, освинцовывать, покрывать свинцом; вести, показывать путь, направлять, проводить; руководить, командовать; направлять удар; возглавлять, управлять; занимать первое место, быть впереди; превосходить; приводить, приводить к; ходить, ходить первым [карт.]"
242	buy	b?a?	"buys; bought; buying"	"obtain; swallow; purchase; procure; believe; purchase; acquire; get; bargain; acquisition; accept"	purchase, obtain by paying money	покупать, купить, накупить, приобретать, подкупать, прикупать
243	understand	??nd?st??nd	"understands; understood; understanding"	"appreciate; twig; appreciate; comprehend; recognize; absorb; comprehend; know; empathize; realize; see; grasp; value; know"	"grasp the meaning of (e.g. words); comprehend (a cause, reason, motivation, etc.); deduce, infer, perceive the implications of; be thoroughly knowledgeable about; accept as true"	понимать, уяснить, уяснять, понять, услышать, узнавать, слышать, предполагать, догадываться, сообразить, уславливаться, разуметь, подразумевать, смыслить, уметь, истолковывать
244	thank	????k	"thanks; thanked; thanking"		express gratitude	благодарить, поблагодарить
245	far	f??r		"further; much; considerably; significantly; extreme; other; distant; remote; future; extreme; furthest; afar; extensively; faraway; greatly; widely; outlying"	"distantly; from afar; considerably; very"	далеко, на большом расстоянии, намного, вдаль, гораздо
246	today	t?d?e?		"now; nowadays"	current day	сегодня, наши дни, настоящее время
247	hour	?a??	hours		"unit of time equal to 60 minutes; certain time of day"	час, определенное время дня
248	student	st?ud?nt	students	"learner; scholar; undergraduate; apprentice"	"one who is enrolled in a school or college; one who studies, one who researches"	студент, учащийся
249	face	f?e?s	"faces; faced; facing"	"countenance; mug; look; features; elevation; aspect; meet; accept; facade; air; play; surface; visage; tackle; challenge; expression; confront; side; handle; admit; realize; appearance"	"front part of the head with the eyes nose and mouth; facial expression; surface; front; boldness, insolence (Slang); look; appearance; good reputation; makeup"	"лицо, физиономия, выражение лица, гримаса; внешний вид; наглость; правая сторона, лицевая сторона; циферблат; фасад, вид спереди; грань; срез, фаска; забой [горн.]"
250	hope	h?o?p	"hopes; hoped; hoping"	"anticipation; expectation; trust; wish; expectation; faith; likelihood; hopefulness; desire; chance; expect; dream; optimism; possibility; anticipate; prospect; aspiration; plan; wish"	expectation, anticipation, wish	надежда, чаяние, упование, лощина
251	idea	a?d?i?	ideas	"clue; sketch; indication; purpose; sense; view; inkling; conception; brainstorm; opinion; picture; impression; perception; theory; objective; point; suggestion; impression; picture; notion; awareness; thought; image; intention; understanding; scheme; proposal; goal; notion; inspiration; hint; belief; vision; knowledge; feeling; suspicion; plan; brainchild; concept; appreciation; design; initiative; intent; plan; outline; aim; notion; object; concept"	"concept, thought; opinion, theory; intention, plan, goal; impression; vague supposition"	идея, мысль, представление, понятие, план, воображение, фантазия, намерение
252	cost	k??st	"costs; costing"	"expense; charge; outlay; fee; detriment; loss; expenditure; expense; rate; price; sacrifice"	price, expense	цена, стоимость, расходы, затраты, издержки, судебные издержки
253	less	l??s		"fewer; excluding; minus"		
254	room	r?um	"rooms; roomed; rooming"	"area; space; extent; scope; opportunity; span"	"compartment of space marked off by walls within a building; space, two- or three-dimensional area"	"комната; присутствующие; помещение, номер, квартира, место; пространство; возможность"
255	until	?nt??l		"pending; awaiting"	up to the time which	до тех пор пока
256	reason	r?iz?n	"reasons; reasoned; reasoning"	"incentive; cause; grounds; mind; basis; logic; wits; intelligence; explanation; argue; intention; brains; sanity; analyze; infer; dispute; motive; goal; wisdom; purpose; sense; debate; motivation; rationale; rationalize; mind; persuade; aim; object; deduce; senses; end"	"cause, basis for action; intelligence, sense"	"причина, основание, мотив, резон, соображение; оправдание, повод, аргумент, довод; разум, интеллект, рассудок; здравый рассудок, здравый ум, благоразумие"
257	form	f??rm	"forms; formed; forming"	"grow; create; mode; method; custom; formula; appearance; variety; develop; style; shape; outline; type; sheet; arrangement; structure; kind; fashion; procedure; create; usage; model; practice; construct; found; document; paper; way; materialize; develop; shape; manner; mold; start; develop; system; figure; produce; establish; questionnaire; arise"	"shape; image; framework, mold; document with blank spaces to be filled in; fitness; mood; type; grade, class (British); custom, social standards; order; format; area of a hypertext document that includes options for receiving user input (Computers, Internet)"	"форма, внешний вид, очертание, экстерьер, фигура, вид, образ; разновидность, формальность, состояние; проформа, готовность, церемония, порядок; построение; общепринятая форма, этикет; класс; формат; бланк, анкета, образец; скамья, парта; модель, печатная форма; опалубка; область страницы интернета включающая место для ввода пользовательских данных (комп.16/01/03***"
258	spend	sp??nd	"spends; spent; spending"	"exhaust; finish; squander; fritter; splurge; consume; expend; waste; use"	"expend, disburse, put out (money, resources, etc.); pass the time in a particular manner; use; use up, exhaust; waste, squander"	"тратить, расходовать, истратить; проводить, проводить время; истощать, потерять"
259	head	h??d	"heads; headed; heading"	"cranium; supervisor; president; supervise; controller; precede; lead; command; move; start; control; skull; go; rule; lead; travel; top; chief; regulate; proceed; beginning; advance; journey; leader"	"uppermost part of the body containing the brain; mind, understanding; leader, person in authority; top; forefront; crisis, climax; devotee, enthusiast (Slang); device in a drive which reads and writes information (Computers)"	"голова; что-либо; человек; наркоман; способности, ум; голова скота; верхняя часть, верхушка, передняя часть, перед, изголовье; нос корабля; нос, крона, головка, кочан, черенок; исток реки; заголовок, рубрика; назревшая головка нарыва; кризис, кризис болезни, перелом болезни; шляпка, шляпка гвоздя; крышка; обух, боек, набалдашник"
260	car	k??r	cars	"vehicle; van; sedan; auto; automobile"	"automobile; railroad car; elevator"	"легковой автомобиль, автомобиль, машина; вагон, железнодорожный вагон, вагонетка; гондола дирижабля, гондола; корзина; кабина лифта; повозка, тележка, колесница"
261	learn	l??n	"learns; learnt; learned; learning"	"discover; study; hear; gather; realize; understand; ascertain"	"acquire knowledge; realize; be aware; discover; acquire; memorize"	учить, учиться, узнавать, научиться, разучивать
262	level	l??v?l	"levels; leveled; levelled; leveling; levelling"	"height; rank; glassy; equal; smooth; even; demolish; balanced; equal; turn; altitude; degree; point; quantity; even; flat; steamroll; point; plane; concentration; aim; echelon; horizontal; smooth; parallel; direct; intensity; stage; flat; raze; amount; reading; alongside; flatten; flatten"	"straight; equal; even, balanced; horizontal; on an equal level; honest, frank"	"ровный, плоский, гладкий; горизонтальный; равномерный; одинаковый; спокойный"
263	person	p??s?n	persons	"personality; one; self; individuality; someone; being; ego; qualities; persona; qualities; character; self; role; individual; guise; anyone; part; character"	"human being; individual human; body of a human"	"человек, личность, особа, субъект; внешность, облик, лицо; действующее лицо, персонаж; юридическое лицо; особь"
264	experience	?ksp??ri?ns	"experiences; experienced; experiencing"	"familiarity; undergo; knowledge; happening; face; feel; event; encounter; occurrence; suffer; skill; incident; practice; understanding"	"knowledge obtained by doing; something that one has lived through"	"опыт, жизненный опыт; знания, квалификация; мастерство, навык, опыт работы, стаж; случай, приключение; испытание, переживание"
265	once	w??ns		"after; when; formerly; previously"	"one time; at one point in time; in the past"	один раз, когда-то, однажды, раз, иногда, некогда
266	member	m??mb?	members	"associate; component; constituent; element; part; appendage; organ; portion; affiliate; limb"	"individual belonging to an organization or group; part, organ, appendage"	"член, участник, представитель, партнер, часть; конечность; элемент конструкции; звено, деталь"
267	enough	?n??f		"sufficient; adequate; sufficient"		
268	bad	b??d	"worse; worst"	"immoral; debauched; deficient; faulty; imperfect; sorry; repentant; evil; depraved; unscrupulous; base; ruinous; inferior; decomposing; shameless; critical; decayed; rancid; wayward; grave; prejudicial; unpleasant; rotten; horrific; rude; ghastly; ashamed; unhealthy; adverse; austere; naughty; remorseful; sad; injurious; dangerous; unhappy; putrid; sour; awful; dire; ruthless; cruel; flawed; serious; harmful; appalling; shocking; mischievous; unruly; guilty; merciless; troubled; decaying; terrible; defective; substandard; shoddy; troublesome; acute; apologetic; contrite; moldy; dreadful; abysmal; willful; severe; testing; corrupt; disobedient; unmanageable; regretful; harsh; stale; unpleasant; wicked; poor; damaging; difficult; penitent; distressing"	"(Canadian and U.S. Slang) good; excellent, great, wonderful;harmful; inferior; serious, grave, acute; pernicious, damaging, harmful (e.g.: smoking is bad for the health); defective, not working properly; rotten, decayed, spoiled (such as bad meat)"	"плохой, нехороший, дурной, скверный; безнравственный, развращенный; испорченный, недоброкачественный; больной; вредный; недействительный; сильный; грубый"
269	city	s??ti	cities	"municipality; metropolis; urban; conurbation; town; capital; metropolitan"	large urban area	"город, большой город; центр деловой жизни города; старинный город"
270	night	n?a?t	nights	"nighttime; darkness; dark"	"period of time between sunset and sunrise; darkness; end of the evening"	ночь, вечер, темнота, мрак
271	able	?e?b?l	"abler; ablest"	"clever; talented; intelligent; bright; gifted; capable; competent; proficient; adept; skilled"	"capable, competent; talented"	"способный, обладающий способностью; компетентный; умелый, умеющий, знающий; талантливый"
272	support	s?p??rt	"supports; supported; supporting"	"hold; sustain; sustenance; funding; buttress; foundation; assist; help; backing; corroborate; proof; buttress; defense; cooperation; prove; corroboration; bear; carry; prop; pillar; back; espouse; aid; provision; confirm; maintain; leg; base; joist; endorsement; sponsor; strengthen; espousal; uphold; endorse; sustain; brace; aid; care; funds; substantiate; verification; authentication; assistance; bolster; crutch; bracket; backing; collaboration; verify; scaffold; defend; column; encourage; help; authenticate; confirmation; stanchion; reinforcement; champion; encouragement; keep; substantiation"	"uphold, prop, brace; bear, carry; encourage; financially assist, provide for; substantiate, corroborate, affirm"	"поддерживать; подпирать; помогать; содержать; подтверждать; играть вторые роли, участвовать в эпизодах"
273	whether	w????			"if; ""if"" used to introduce two possibilities the second of which is usually preceded by ""or"""	ли
274	line	l?a?n	"lines; lined; lining"	"procession; silhouette; twine; edge; boundary; stance; contour; thread; connection; area; edge; family; stock; stripe; string; wire; profile; method; race; cover; contour; border; approach; lineage; link; column; stroke; cord; lead; track; limit; specialism; coat; reinforce; position; pad; rope; specialty; policy; attitude; ideology; route; field; parentage; streak; flex; descent; occupation; interest; ancestry; cable; specialization; row; outline; frontier"	"long thin mark; row; border; domain; tactic; rope; queue; layout; contour; wrinkle; descent; plan; profession; note; bit of useful information; procedure"	"линия, очертания, контур; предел; черта, штрих; мера длины; нотная линейка; веревка, шнур, леса, линь; граница, пограничная линия; морщина, борозда; ряд, развернутый строй, шеренга, очередь, хвост; направление; генеалогия,происхождение, родословная; образ действий, поведение; строка, строка изображения; стихи"
275	present	pr??z?nt	"presents; presented; presenting"	"represent; donate; here; award; stage; offer; portray; contemporary; expound; there; near; gift; impart; nearby; bestow; offer; dowry; submit; introduce; grant; offering; state; exhibit; current; give; display; existing; communicate; show; organize"	"existent; in attendance, on hand; of the current times, pertaining to the current times"	присутствующий, имеющийся налицо, настоящий, нынешний, теперешний, современный, существующий, данный, этот самый
276	side	s?a?d	"sides; sided; siding"	"elevation; piece; border; part; region; quality; face; bank; edge; surface; segment; fringe; characteristic; area; boundary; margin; trait; feature; part; periphery; aspect; wall; flank; plane; section"	"surface; space immediately next to someone or something; facet; front or back of a two-dimensional object; right or left half of an object; right or left half of a body; one of two opposing views"	"стенка, стена, сторона; поверхность; борт; склон, склон горы; край; аспект, черта; точка зрения, позиция; подход; линия"
277	quite	kw?a?t		"relatively; wholly; pretty; fairly; rather; extremely; reasonably; somewhat; completely; totally; utterly; fully; entirely; absolutely; very; moderately"	"completely, entirely; truly, absolutely; extremely, very; rather, moderately; to a certain extent"	вполне, совсем, полностью, совершенно, очень, всецело, до некоторой степени, в некоторой степени, более или менее, довольно, действительно, в самом деле
278	although	??l??o?		"though; while"	despite the fact that, in spite of the fact that	если бы даже, хотя, несмотря на то
279	sure	???r	"surer; surest"	"definite; assured; positively; dependable; solid; persuaded; definite; indeed; certain; convinced; definitely; trustworthy; really; absolutely; unquestionable; surely; surefire; absolutely; trusty; constant; confident; conclusive; certainly; surely; effective; steady; loyal; positively; clearly; yes; certain; reliable; certainly; guaranteed; undisputable; inevitable; positive; indubitable"	"certain; firm; confident; inevitable; reliable; steady"	"уверенный, несомненный; безошибочный, верный; надежный, безопасный"
280	term	t??m	"terms; termed; terming"	"period; duration; designate; word; span; name; stretch; tenure; dub; time; idiom; characterize; expression; phrase; label; call; name"	"word; expression, idiom; semester; specified time period; condition, stipulation (e.g. the terms of an agreement)"	определенный период, семестр, срок, судебная сессия, условия оплаты, предел, условия соглашения, договор, гонорар, личные отношения, термин, научное выражение, научное название, выражения, язык выражения, способ выражения, граница, назначенный день уплаты аренды, срок разрешения от бремени, член, элемент
281	least	l?ist		slightest		
282	age	?e?d?	"ages; aged; aging; ageing"	"era; period; time; times; epoch; mature"	"length of time that a person or organism has been alive; length of time that an object has existed; period, era; generation"	"возраст, совершеннолетие; период, век, эпоха, долгий срок, вечность; старость; поколение"
283	low	l?o?	"lows; lowed; lowing; lower; lowest"	"short; subdued; unhappy; squat; muted; stumpy; depleted; minimal; depressed; little; small; soothing; blue; quiet; glum; miserable; sad; forlorn; depression; down; muffled; gentle; gloomy; depths; dwindling; down; short; subtle; despondent; downcast; nadir; soft; trough; slump"	"situated near to the ground, not high; weak; quiet; depressed; depleted; mean, base; inferior; vulgar; rude; shallow"	"низкий, невысокий; низший; с большим декольте, с глубоким вырезом; тихий, негромкий; низкого происхождения, низменный, невысокоразвитый, вульгарный, грубый, скверный, непристойный; подлый; слабый; пониженный, небольшой, подавленный; плохой, скудный, недостаточный; непитательный, истощенный; опустошенный"
284	speak	sp?ik	"speaks; spoke; speaking; spoken"	"talk; verbalize; chat; address; converse; preach; articulate; lecture; tell"	"talk; say; express; give a speech; mention, indicate"	"говорить, разговаривать, изъясняться; делать выговор, бранить; высказываться, выступать, произносить речь; свидетельствовать; волновать, трогать"
285	within	w????n		"in; inside"	"inside; in the frame of; in the field of; in the range of; during; in"	в, внутри, в пределах, в течение, не позднее, не далее как
286	process	pr??s??s	"processes; processed; processing"	"handle; course; administer; manage; treat; progression; practice; manner; development; method; means; procedure; route"	"procedure, routine; course of action; advance; summons to court; program which uses some of a multitasking computer's system resources (Computers); projecting part in an organism"	"процесс, ход; течение, движение; судопроизводство; способ, метод; технологический процесс, технологический прием, технологический способ"
287	public	p??bl?k	publics	"open; unrestricted; shared; civic; municipal; open; known; communal; broadcast; community; free"	"open to all people, freely accessible; pertaining to an entire population; general, universal"	общественный, народный, общенародный, коммунальный, публичный, общедоступный, гласный, государственный, рекламный, открытый
288	often	??ft?n		"repeatedly; frequently; regularly; habitually"	"frequently; in many cases"	часто, много раз, зачастую
289	train	tr?e?n	"trains; trained; training"	"teach; coach; series; direct; instruct; file; prepare; string; exercise; focus; educate; procession; line; guide; school; progression; tutor; aim; sequence; succession; point; convoy; chain"	instruct, coach	ехать поездом, ехать по железной дороге, воспитывать, учить, приучать к дисциплине, приучать к хорошим навыкам, приваживать, обучать, выучивать, готовить, обучаться, готовиться, тренировать, тренироваться, дрессировать, натаскивать, объезжать, упражнять, упражняться, направлять рост растений, направлять, наводить
